tool,trial,crash_id,cat,bug,loc,desc,exp,num_reports,min_asyncs_in_log,max_programs_from_end_of_log_to_asyncs
sect_pos,0,09a650f7fd6360cfe594f52776cd08e4dea82d6f,INFO,task hung,__rq_qos_throttle,INFO: task hung in __rq_qos_throttle,cover_eval_cp,1,,
sect_pos,0,86c1a76cfd5a672df1ef9fd2e6aa0951413a2412,WARNING,,kthread_worker_fn,WARNING in kthread_worker_fn,cover_eval_cp,1,,
sect_pos,0,b439149adc4a059ec80b6e79575ba4b1ade460f3,WARNING,refcount bug,j1939_xtp_rx_cts,WARNING: refcount bug in j1939_xtp_rx_cts,cover_eval_cp,100,,
sect_pos,0,eb69e7ea1402b04195836e33cd82ead332e172b9,OTHER,possible deadlock,input_inject_event,possible deadlock in input_inject_event,cover_eval_cp,5,,
sect_pos,0,11b161fdc7de61e5c70cbb5be9de567347d4fbfb,WARNING,,ext4_mb_load_buddy_gfp,WARNING in ext4_mb_load_buddy_gfp,cover_eval_cp,1,,
sect_pos,0,c16d8a13a5b01b10dd5b51c8277b2a34eba56d17,BUG,unable to handle kernel paging request,do_sys_poll,BUG: unable to handle kernel paging request in do_sys_poll,cover_eval_cp,23,,
sect_pos,0,a7d102b4ecfd113482425e71b004203976489fdd,SYZFATAL,,,SYZFATAL: Manager.NewInput call failed: read tcp IP:NUM->IP:NUM: i/o timeout,cover_eval_cp,1,,
sect_pos,0,dac17913a5b5246a1d1bd6734441801e03ce2b6d,BUG,stack guard page was hit,corrupted,BUG: stack guard page was hit in corrupted,cover_eval_cp,24,,
sect_pos,0,4c1dceb01dec061b63593f149cf10429fa012309,OTHER,possible deadlock,__perf_install_in_context,possible deadlock in __perf_install_in_context,cover_eval_cp,1,,
sect_pos,0,a2ce4a2ec11b2fac63e6dd88a5f01b42c63de9a1,INFO,task hung,nbd_set_size,INFO: task hung in nbd_set_size,cover_eval_cp,1,,
sect_pos,0,41b74e6c247526f8fa6cc88d9db735c26704c66b,WARNING,refcount bug,j1939_session_put,WARNING: refcount bug in j1939_session_put,cover_eval_cp,100,,
syzkaller,6,e9f5b11984c54cecb386b92bb20c76d5d003719f,OTHER,,,no output from test machine,cover_eval_cp,0,,
syzkaller,6,8a1638229db60175d7fa5e570f8e450a1b567a94,WARNING,,ieee80211_start_next_roc,WARNING in ieee80211_start_next_roc,cover_eval_cp,4,,
syzkaller,6,910e3195261654c617977513fc7cef18d9dde9bd,WARNING,,format_decode,WARNING in format_decode,cover_eval_cp,6,,
syzkaller,6,14692319382598dac4dee0cca30dcdf451cb5eb7,WARNING,,rate_control_rate_init,WARNING in rate_control_rate_init,cover_eval_cp,32,,
syzkaller,6,a452f0e64788cc908f0eebdc7cdf2c97d97d3c3b,INFO,task hung,lookup_slow,INFO: task hung in lookup_slow,cover_eval_cp,1,,
syzkaller,6,416fc16dc61e88df48b8990e74bd866199c4f53a,WARNING,,__rate_control_send_low,WARNING in __rate_control_send_low,cover_eval_cp,1,,
syzkaller,6,972be4156c4dc35f22a107eb9526698fcb412be4,BUG,soft lockup,__run_timer_base,BUG: soft lockup in __run_timer_base,cover_eval_cp,1,,
syzkaller,6,78cdfde87b5285c5274cf9336a873c5072c53d29,WARNING,,p9_client_create,WARNING in p9_client_create,cover_eval_cp,38,,
syzkaller,6,5983a65cfeddb32fed63f8a733b3d810e05ba119,INFO,task hung,_free_event,INFO: task hung in _free_event,cover_eval_cp,18,,
syzkaller,6,b8cd92c1478d22bf00f49d211bf24287a812a0e0,INFO,task hung,bdev_release,INFO: task hung in bdev_release,cover_eval_cp,11,,
syzkaller,6,dd7c33733b9c9fee9b618128c0a2bcdd96f78b57,OTHER,,,VFS: Busy inodes after unmount (use-after-free),cover_eval_cp,1,,
syzkaller,6,df87226af75e2e906503e976819e1403142d677a,BUG,soft lockup,addrconf_rs_timer,BUG: soft lockup in addrconf_rs_timer,cover_eval_cp,3,,
syzkaller,6,3056e0207567b5ab2df376e1400f858b88d0f665,OTHER,kernel BUG,zero_user_segments,kernel BUG in zero_user_segments,cover_eval_cp,3,,
syzkaller,6,63de2be03e3a7eda16f7bce15a9a80a4da54ae9c,INFO,task hung,tls_sk_proto_close,INFO: task hung in tls_sk_proto_close,cover_eval_cp,2,,
syzkaller,6,c55cf6656ce82c7ebd3e26802512fcba3d7d28ca,SYZFATAL,,,SYZFATAL: executor NUM failed NUM times: executor NUM: exit status NUM err signal: killed,cover_eval_cp,1,,
syzkaller,6,6e89ce80a10c14d6e832ef9b558bcd045825e05b,BUG,,,BUG: MAX_LOCKDEP_KEYS too low!,cover_eval_cp,2,,
syzkaller,6,295c0dc164c3fcf583aa4a873bea301927c81b66,BUG,corrupted list,em28xx_init_extension,BUG: corrupted list in em28xx_init_extension,cover_eval_cp,1,,
syzkaller,6,11d137c334a427322898aa51903aed548ece812d,SYZFATAL,,,SYZFATAL: executor NUM failed NUM times: executor NUM: exit status NUM err exit status NUM,cover_eval_cp,7,,
syzkaller,6,dfc109c0cf7ead121984212eccd30401ec6dd3eb,WARNING,,ip_rt_bug,WARNING in ip_rt_bug,cover_eval_cp,4,,
syzkaller,6,ce6ef2b22dd47563c725e7c93f7410f29021547b,OTHER,possible deadlock,task_rq_lock,possible deadlock in task_rq_lock,cover_eval_cp,1,,
syzkaller,6,f73b3116ad434cc9b97b908060b5e73752df3be7,WARNING,,restore_regulatory_settings,WARNING in restore_regulatory_settings,cover_eval_cp,4,,
syzkaller,6,10ea2b759f72ff5dd26bce896d853e10f00de743,OTHER,,,unregister_netdevice: waiting for DEV to become free,cover_eval_cp,1,,
syzkaller,6,b83ebc0f722370f9f7e120e759d663eb44f55efc,OTHER,,,suppressed report,cover_eval_cp,0,,
syzkaller,6,c7ed951cf7bac13fbb771774bc4ff97eaf1ccb29,KASAN,slab-use-after-free Write,sco_sock_timeout,KASAN: slab-use-after-free Write in sco_sock_timeout,cover_eval_cp,1,,
syzkaller,6,c7bef9a5b3324959844ec200a0dc227b249903f9,INFO,task hung,iterate_supers,INFO: task hung in iterate_supers,cover_eval_cp,1,,
syzkaller,6,b439149adc4a059ec80b6e79575ba4b1ade460f3,WARNING,refcount bug,j1939_xtp_rx_cts,WARNING: refcount bug in j1939_xtp_rx_cts,cover_eval_cp,100,,
syzkaller,6,057de8d8fd45c5ae46e83f2daa1599f8d6333330,OTHER,kernel BUG,z3fold_page_migrate,kernel BUG in z3fold_page_migrate,cover_eval_cp,2,,
syzkaller,6,eb69e7ea1402b04195836e33cd82ead332e172b9,OTHER,possible deadlock,input_inject_event,possible deadlock in input_inject_event,cover_eval_cp,1,,
syzkaller,6,f48cc881b60886898c7e47830174497c7718d0a3,WARNING,,media_create_pad_link,WARNING in media_create_pad_link,cover_eval_cp,1,,
syzkaller,6,a7d102b4ecfd113482425e71b004203976489fdd,SYZFATAL,,,SYZFATAL: Manager.NewInput call failed: read tcp IP:NUM->IP:NUM: i/o timeout,cover_eval_cp,1,,
syzkaller,6,c8706fee1db2b029d0d78a4fec5aa655b59bbc3e,OTHER,general protection fault,pick_task_fair,general protection fault in pick_task_fair,cover_eval_cp,4,,
syzkaller,6,a94b2a16e944b260090d50801ada7667de2c9325,BUG,soft lockup,ipv6_list_rcv,BUG: soft lockup in ipv6_list_rcv,cover_eval_cp,1,,
syzkaller,6,41b74e6c247526f8fa6cc88d9db735c26704c66b,WARNING,refcount bug,j1939_session_put,WARNING: refcount bug in j1939_session_put,cover_eval_cp,100,,
sect_pct,7,e9f5b11984c54cecb386b92bb20c76d5d003719f,OTHER,,,no output from test machine,cover_eval_cp,0,,
sect_pct,7,4a5eb99ffff5749ea30d65b6652bb2ca9ce59b6c,BUG,unable to handle kernel paging request,put_cmsg,BUG: unable to handle kernel paging request in put_cmsg,cover_eval_cp,3,,
sect_pct,7,910e3195261654c617977513fc7cef18d9dde9bd,WARNING,,format_decode,WARNING in format_decode,cover_eval_cp,2,,
sect_pct,7,14692319382598dac4dee0cca30dcdf451cb5eb7,WARNING,,rate_control_rate_init,WARNING in rate_control_rate_init,cover_eval_cp,30,,
sect_pct,7,a452f0e64788cc908f0eebdc7cdf2c97d97d3c3b,INFO,task hung,lookup_slow,INFO: task hung in lookup_slow,cover_eval_cp,2,,
sect_pct,7,d55cddbfbe70446f2d66df758e7e93c285e69db9,WARNING,,call_timer_fn,WARNING in call_timer_fn,cover_eval_cp,2,,
